Symbol,Name,Sector
000002,万科A,房地产开发
000063,中兴通讯,通信设备
000301,东方盛虹,炼化及贸易
000333,美的集团,白色家电
000338,潍柴动力,汽车零部件
000538,云南白药,中药Ⅱ
000568,泸州老窖,白酒Ⅱ
000651,格力电器,白色家电
000725,京东方A,光学光电子
000776,广发证券,证券Ⅱ
000792,盐湖股份,农化制品
000858,五粮液,白酒Ⅱ
001289,龙源电力,电力
002027,分众传媒,广告营销
002049,紫光国微,半导体
002129,TCL中环,光伏设备
002230,科大讯飞,软件开发
002241,歌尔股份,消费电子
002271,东方雨虹,装修建材
002311,海大集团,饲料
002352,顺丰控股,物流
002371,北方华创,半导体
002415,海康威视,计算机设备
002460,赣锋锂业,能源金属
002466,天齐锂业,能源金属
002475,立讯精密,消费电子
002493,荣盛石化,炼化及贸易
002594,比亚迪,乘用车
002709,天赐材料,电池
002714,牧原股份,养殖业
002812,恩捷股份,电池
300014,亿纬锂能,电池
300015,爱尔眼科,医疗服务
300059,东方财富,证券Ⅱ
300122,智飞生物,生物制品
300124,汇川技术,自动化设备
300274,阳光电源,光伏设备
300433,蓝思科技,消费电子
300450,先导智能,电池
300750,宁德时代,电池
300760,迈瑞医疗,医疗器械
300782,卓胜微,半导体
300896,爱美客,医疗美容
300999,金龙鱼,农产品加工
600009,上海机场,航空机场
600019,宝钢股份,普钢
600025,华能水电,电力
600030,中信证券,证券Ⅱ
600031,三一重工,工程机械
600036,招商银行,股份制银行Ⅱ
600048,保利发展,房地产开发
600104,上汽集团,乘用车
600111,北方稀土,小金属
600188,兖矿能源,煤炭开采
600276,恒瑞医药,化学制药
600309,万华化学,化学制品
600346,恒力石化,炼化及贸易
600406,国电南瑞,电网设备
600436,片仔癀,中药Ⅱ
600438,通威股份,光伏设备
600519,贵州茅台,白酒Ⅱ
600585,海螺水泥,水泥
600588,用友网络,软件开发
600600,青岛啤酒,非白酒
600660,福耀玻璃,汽车零部件
600690,海尔智家,白色家电
600703,三安光电,光学光电子
600745,闻泰科技,半导体
600760,中航沈飞,航空装备Ⅱ
600809,山西汾酒,白酒Ⅱ
600887,伊利股份,饮料乳品
600893,航发动力,航空装备Ⅱ
600900,长江电力,电力
600905,三峡能源,电力
601012,隆基绿能,光伏设备
601088,中国神华,煤炭开采
601100,恒立液压,工程机械
601138,工业富联,消费电子
601225,陕西煤业,煤炭开采
601238,广汽集团,乘用车
601318,中国平安,保险Ⅱ
601360,三六零,软件开发
601633,长城汽车,乘用车
601669,中国电建,基础建设
601888,中国中免,旅游零售Ⅱ
601899,紫金矿业,工业金属
601919,中远海控,航运港口
603195,公牛集团,家居用品
603259,药明康德,医疗服务
603288,海天味业,调味发酵品Ⅱ
603392,万泰生物,生物制品
603501,豪威集团,半导体
603799,华友钴业,能源金属
603833,欧派家居,家居用品
603993,洛阳钼业,工业金属
688036,传音控股,消费电子
688111,金山办公,软件开发
688599,天合光能,光伏设备
688981,中芯国际,半导体
