,code,exchange
0,000001,深交所
1,000002,深交所
2,000004,深交所
3,000006,深交所
4,000007,深交所
5,000008,深交所
6,000009,深交所
7,000010,深交所
8,000011,深交所
9,000012,深交所
10,000014,深交所
11,000016,深交所
12,000017,深交所
13,000019,深交所
14,000020,深交所
15,000021,深交所
16,000025,深交所
17,000026,深交所
18,000027,深交所
19,000028,深交所
20,000029,深交所
21,000030,深交所
22,000031,深交所
23,000032,深交所
24,000034,深交所
25,000035,深交所
26,000036,深交所
27,000037,深交所
28,000039,深交所
29,000042,深交所
30,000045,深交所
31,000048,深交所
32,000049,深交所
33,000050,深交所
34,000055,深交所
35,000056,深交所
36,000058,深交所
37,000059,深交所
38,000060,深交所
39,000061,深交所
40,000062,深交所
41,000063,深交所
42,000065,深交所
43,000066,深交所
44,000068,深交所
45,000069,深交所
46,000070,深交所
47,000078,深交所
48,000088,深交所
49,000089,深交所
50,000090,深交所
51,000096,深交所
52,000099,深交所
53,000100,深交所
54,000151,深交所
55,000153,深交所
56,000155,深交所
57,000156,深交所
58,000157,深交所
59,000158,深交所
60,000159,深交所
61,000166,深交所
62,000301,深交所
63,000333,深交所
64,000338,深交所
65,000400,深交所
66,000401,深交所
67,000402,深交所
68,000403,深交所
69,000404,深交所
70,000407,深交所
71,000408,深交所
72,000409,深交所
73,000410,深交所
74,000411,深交所
75,000415,深交所
76,000417,深交所
77,000419,深交所
78,000420,深交所
79,000421,深交所
80,000422,深交所
81,000423,深交所
82,000425,深交所
83,000426,深交所
84,000428,深交所
85,000429,深交所
86,000430,深交所
87,000488,深交所
88,000498,深交所
89,000501,深交所
90,000503,深交所
91,000504,深交所
92,000505,深交所
93,000506,深交所
94,000507,深交所
95,000509,深交所
96,000510,深交所
97,000513,深交所
98,000514,深交所
99,000516,深交所
100,000517,深交所
101,000518,深交所
102,000519,深交所
103,000520,深交所
104,000521,深交所
105,000523,深交所
106,000524,深交所
107,000525,深交所
108,000526,深交所
109,000528,深交所
110,000529,深交所
111,000530,深交所
112,000531,深交所
113,000532,深交所
114,000533,深交所
115,000534,深交所
116,000536,深交所
117,000537,深交所
118,000538,深交所
119,000539,深交所
120,000541,深交所
121,000543,深交所
122,000544,深交所
123,000545,深交所
124,000546,深交所
125,000547,深交所
126,000548,深交所
127,000550,深交所
128,000551,深交所
129,000552,深交所
130,000553,深交所
131,000554,深交所
132,000555,深交所
133,000557,深交所
134,000558,深交所
135,000559,深交所
136,000560,深交所
137,000561,深交所
138,000563,深交所
139,000564,深交所
140,000565,深交所
141,000566,深交所
142,000567,深交所
143,000568,深交所
144,000570,深交所
145,000571,深交所
146,000572,深交所
147,000573,深交所
148,000576,深交所
149,000581,深交所
150,000582,深交所
151,000586,深交所
152,000589,深交所
153,000590,深交所
154,000591,深交所
155,000592,深交所
156,000593,深交所
157,000595,深交所
158,000596,深交所
159,000597,深交所
160,000598,深交所
161,000599,深交所
162,000600,深交所
163,000601,深交所
164,000603,深交所
165,000605,深交所
166,000607,深交所
167,000608,深交所
168,000609,深交所
169,000610,深交所
170,000612,深交所
171,000615,深交所
172,000617,深交所
173,000619,深交所
174,000620,深交所
175,000623,深交所
176,000625,深交所
177,000626,深交所
178,000627,深交所
179,000628,深交所
180,000629,深交所
181,000630,深交所
182,000631,深交所
183,000632,深交所
184,000633,深交所
185,000635,深交所
186,000636,深交所
187,000637,深交所
188,000638,深交所
189,000639,深交所
190,000650,深交所
191,000651,深交所
192,000652,深交所
193,000655,深交所
194,000656,深交所
195,000657,深交所
196,000659,深交所
197,000661,深交所
198,000663,深交所
199,000665,深交所
200,000668,深交所
201,000669,深交所
202,000670,深交所
203,000672,深交所
204,000676,深交所
205,000677,深交所
206,000678,深交所
207,000679,深交所
208,000680,深交所
209,000681,深交所
210,000682,深交所
211,000683,深交所
212,000685,深交所
213,000686,深交所
214,000688,深交所
215,000690,深交所
216,000691,深交所
217,000692,深交所
218,000695,深交所
219,000697,深交所
220,000698,深交所
221,000700,深交所
222,000701,深交所
223,000702,深交所
224,000703,深交所
225,000705,深交所
226,000707,深交所
227,000708,深交所
228,000709,深交所
229,000710,深交所
230,000711,深交所
231,000712,深交所
232,000713,深交所
233,000715,深交所
234,000716,深交所
235,000717,深交所
236,000718,深交所
237,000719,深交所
238,000720,深交所
239,000721,深交所
240,000722,深交所
241,000723,深交所
242,000725,深交所
243,000726,深交所
244,000727,深交所
245,000728,深交所
246,000729,深交所
247,000731,深交所
248,000733,深交所
249,000735,深交所
250,000736,深交所
251,000737,深交所
252,000738,深交所
253,000739,深交所
254,000750,深交所
255,000751,深交所
256,000752,深交所
257,000753,深交所
258,000755,深交所
259,000756,深交所
260,000757,深交所
261,000758,深交所
262,000759,深交所
263,000761,深交所
264,000762,深交所
265,000766,深交所
266,000767,深交所
267,000768,深交所
268,000776,深交所
269,000777,深交所
270,000778,深交所
271,000779,深交所
272,000782,深交所
273,000783,深交所
274,000785,深交所
275,000786,深交所
276,000788,深交所
277,000789,深交所
278,000790,深交所
279,000791,深交所
280,000792,深交所
281,000793,深交所
282,000795,深交所
283,000796,深交所
284,000797,深交所
285,000798,深交所
286,000799,深交所
287,000800,深交所
288,000801,深交所
289,000802,深交所
290,000803,深交所
291,000807,深交所
292,000809,深交所
293,000810,深交所
294,000811,深交所
295,000812,深交所
296,000813,深交所
297,000815,深交所
